CustomerId|AGE|GENDER
A0000437267715909652|1967|2
A0001016006932774025|1972|1
A0001834181277146032|1949|2
A0001844578159559472|1960|2
A0002613915349821224|1966|2
A0003741283814077347|1984|2
A0003992366438866950|1965|1
A0004116226145465985|1954|1
A0004181919638931005|1979|2
A0004243688204930625|1967|2
A0004652764415088045|1978|2
A0004709386779612851|1947|2
A0004889831465870410|1959|1
A0005158019552268782|1976|2
A0005381934260315213|1969|1
A0005403070525757362|1992|1
A0005774481488599359|1936|1
A0007162532625801074|1964|1
A0007257910412020305|1973|1
A0007936874217841338|1989|2
A0007972148491323237|1951|1
A0008239577632612934|1985|2
A0010501793673813854|1951|2
A0012062949832297137|1979|1
A0014441910151503254|1956|2
A0015369351023120975|1949|2
A0015915624665430622|1976|1
A0016135975179192678|1955|2
A0016215811796808581|1985|1
A0016568559803182918|1990|1
A0017645728687954422|1965|2
A0017956187704575922|1954|1
A0018117955740922756|1968|1
A0018156010573519523|1976|2
A0018261146996229587|1980|2
A0019553364307066435|1965|1
A0019662630384855059|1965|1
A0019705003289456966|1974|2
A0019889800036707788|1963|2
A0019942630996135387|1981|2
A0020362115458286609|1973|2
A0020817363513923992|1960|1
A0023049062377744695|1965|1
A0023727185535820444|1960|2
A0026150947787135797|1992|1
A0027025318808674611|1977|2
A0028769734067812601|1965|1
A0028920163549407296|1969|2
A0029259722698156466|1989|2
A0029461830399643391|1972|1
A0029673696699253271|1959|1
A0030323008149485498|1959|2
A0030787304725637176|1982|1
A0031136192797183079|1982|1
A0032087013489618293|1951|1
A0032629072076457218|1982|1
A0033472212159798157|1982|1
A0033574563229953816|1956|1
A0033925893765427430|1988|1
A0034190839527380705|1972|2
A0034372969924688410|1957|1
A0034731456019652885|1956|2
A0034935058000937376|1947|1
A0035249251606174105|1961|2
A0035448395974094224|1947|1
A0036499482224249955|1936|2
A0036675534229816051|1975|2
A0037971443294504232|1977|2
A0038156329278020617|1961|1
A0038824304205756333|1944|2
A0038917073062566719|1988|2
A0040454062096804924|1951|1
A0041098197122121728|1981|1
A0041159465188710007|1974|1
A0041652272764400368|1957|2
A0041941684628320183|1979|1
A0042205177555490649|1986|1
A0042753048441827080|1966|2
A0043077659016941299|1978|1
A0043278305795702737|1951|1
A0043468183750434077|1961|1
A0044499150342609215|1966|2
A0044971605129207199|1991|2
A0046188288410115180|1992|1
A0046334202933449934|1977|1
A0046466384664451470|1947|1
A0046996632686043127|1974|2
A0047659016051629685|1951|2
A0047669064987987541|1986|2
A0048420297542819495|1935|2
A0048934788321393708|1966|2
A0049295885686402764|1939|2
A0049305657327057791|1964|2
A0049519410823226766|1965|1
A0049590822142228797|1982|2
A0050646337362052594|1947|2
A0050939189067776487|1966|1
A0051267719005944420|1977|1
A0051292671994936294|1959|1
A0051306411916541215|1963|1
A0051483678581063977|1982|2
A0051562246717665344|1956|2
A0051594203529046407|1952|1
A0051998690162447350|1963|1
A0053491771020161712|1952|1
A0054550722464862191|1977|2
A0055098686121316755|1949|1
A0055411591206720639|1955|1
A0056591833822625521|1933|2
A0057180033129494796|1981|1
A0057454422861890501|1949|1
A0057469651520096679|1955|2
A0058943260444687227|1955|1
A0059447852582667345|1983|2
A0059820673560903882|1981|1
A0060657786044952272|1967|2
A0062389414010349263|1957|1
A0062534313999963841|1936|1
A0063148595971576099|1965|2
A0063207086263967512|1952|1
A0063689273314491328|1955|2
A0063805861835376402|1979|1
A0064750667779830179|1962|2
A0065120992744022056|1952|1
A0066617743576353241|1947|2
A0066625013906396772|1965|2
A0067164310882698244|1957|1
A0068087865577195849|1969|2
A0069490232700613633|1967|1
A0070019690540779173|1936|1
A0070221168001078819|1959|2
A0070244886471562390|1968|2
