YM|CustomerId|SCTR_CD|COM_KEY|DLQ_TYPE|DLQ_CD_1|DLQ_CD_2|DLQ_FROM|DLQ_AMT
201412|A0030787304725637176|21|A5220954898294685472|1|0101|0|201405|9800
201412|A0111565335251827625|05|A0451269894647724850|1|0101|0|201407|66000
201412|A0122160610626813478|03|B0187886815516823801|1|0104|7|201306|15000
201412|A0122160610626813478|21|B5554622884040481989|1|0101|0|201411|5000
201412|A0123097164074706488|05|A8032979485845637056|1|0101|7|201104|6000
201412|A0126054439621149981|01|A5098262065111730506|1|0101|7|201312|6700
201412|A0126054439621149981|21|A6266831493642538011|1|0103|0|201401|310
201412|A0187532318890674552|01|B1084561744077284435|1|0101|0|201410|3000
201412|A0194792676120970087|21|A3299684257519414188|1|0104|0|201410|1800
201412|A0194792676120970087|05|A3299684257519414188|1|0101|0|201412|1000
201412|A0194792676120970087|05|A3299684257519414188|1|0101|0|201412|1900
201412|A0194792676120970087|05|A3299684257519414188|1|0104|0|201412|2200
201412|A0198073139167152375|17|A2077264493152708526|1|0101|7|201409|2000
201412|A0198073139167152375|98|A8753108305697406842|2|1301|0|201409|0
201412|A0233308919388008697|05|B4490489260586546736|1|0101|0|201410|5500
201412|A0264613450625932720|98|B0268183889193727935|1|0101|0|201402|9000
201412|A0278414088640929626|05|A7619629195688586197|1|0101|7|201405|8000
201412|A0278414088640929626|05|A6228446746598054157|1|0103|0|201409|16000
201412|A0303719106590553283|05|B2381904401851333536|1|0199|7|201403|160
201412|A0320261012471829049|03|B8530399501822642833|1|0101|7|201304|5000
201412|A0327300451302731416|05|A6857180067303501518|1|0103|0|201405|1400
201412|A0327300451302731416|21|A8813661750008184781|1|0104|0|201406|2000
201412|A0327805079931735965|05|A7674218699578698608|1|0103|0|201410|23000
201412|A0359762661128469400|05|A2567589082035664448|1|0103|0|201403|8500
201412|A0359762661128469400|05|A2567589082035664448|1|0101|0|201410|9300
201412|A0417876121907254420|05|B6046546762324527380|1|0104|0|201404|1500
201412|A0426177013867318925|17|B4198729637824138274|1|0103|0|201302|170
201412|A0433038672007352210|17|A5821303908463976416|1|0104|0|201310|1200
201412|A0438123180883884838|01|B4661624312568485233|1|0104|0|201310|76000
201412|A0470954926658437915|03|B5377008079870191824|1|0104|0|201405|16000
201412|A0470954926658437915|21|A0488194129701724411|1|0103|0|201405|1700
201412|A0470954926658437915|21|B5377008079870191824|1|0101|0|201405|2100
201412|A0470954926658437915|05|B3435785137948603026|1|0101|0|201410|95000
201412|A0470954926658437915|03|A7081126301116452211|1|0104|0|201410|130000
201412|A0476724843582682034|17|A6342273599737728435|1|0103|0|201309|950
201412|A0476724843582682034|21|A0931337402593418196|1|0103|7|201412|2200
201412|A0539507657710955419|21|B2284859766924511795|1|0101|7|201412|4600
201412|A0557689743180245084|21|B3226819363906742580|1|0101|0|201405|7200
201412|A0559823423255318867|05|A7858676680518348459|1|0101|0|201407|94000
201412|A0559823423255318867|05|A0032216706262518839|1|0104|0|201411|15000
201412|A0561302866321443606|17|A3645293681408790430|1|0101|0|201411|19000
201412|A0578258248854460511|05|A7842403782569967062|1|0103|0|201209|400
201412|A0578258248854460511|05|A7842403782569967062|1|0103|0|201410|15000
201412|A0610261066691972823|05|B6487565142946724301|1|0101|0|201107|7000
201412|A0629503926184768698|17|B4396391712034031635|1|0101|7|201306|810
201412|A0640164556781534528|17|A2224658483745934388|1|0101|7|201404|6800
201412|A0640164556781534528|05|B5652378680303164811|1|0104|0|201407|4000
201412|A0643766124044563483|05|B8972438017663531083|1|0101|0|201310|48000
201412|A0663252099734985397|05|B4963427898409718058|1|0103|0|201312|2700
201412|A0663252099734985397|05|B4963427898409718058|1|0103|0|201412|10000
201412|A0694537270743422351|03|A5538123147610024537|1|0199|7|201410|4000
201412|A0699598963019349131|05|B1524400998960147128|1|0101|0|201412|3000
201412|A0773823479315861345|05|B4605617853430485464|1|0104|0|201411|9800
201412|A0848657329781729546|03|A6519997553305498547|1|0101|0|201403|8300
201412|A0877741027122962935|01|A3985103408579608778|1|0103|0|201411|46000
201412|A0914302811089168272|08|B4706731930817793477|1|0101|0|201405|3400
201412|A0934209497465553911|03|A8052372376949701618|1|0101|0|201403|75000
201412|A0936662783719395977|08|B8611460417546908214|1|0104|0|201401|2300
201412|A0936662783719395977|21|B6048812107803026503|1|0104|0|201410|7600
201412|A0976590620076367752|05|A0319492743074216971|1|0101|7|201409|1700
201412|A0976590620076367752|03|A1037375760329488062|1|0101|0|201411|3900
201412|A1058734104408907968|01|A6206456971792673711|1|0104|0|201309|10000
201412|A1058734104408907968|08|A7607190925182355047|1|0104|0|201407|3000
201412|A1082686809714773281|05|A2265868972601971920|1|0104|0|201412|3000
201412|A1092653788579500775|05|B0605873716560907360|1|0101|0|201407|6700
201412|A1119345079294026952|21|A3841201596500754416|1|0104|7|201412|1000
201412|A1120035203890636257|21|B7665855212793430536|1|0104|0|201312|4600
201412|A1148312505692511389|05|B3154906826582794279|1|0103|0|201405|1500
201412|A1148312505692511389|17|B5331419868060511843|1|0101|0|201406|1000
201412|A1148312505692511389|21|A6365916796555255015|1|0101|0|201407|1100
201412|A1148312505692511389|03|B3154906826582794279|1|0101|0|201408|2600
201412|A1158037745702677595|01|A7384265228732040780|1|0199|0|201410|2500
201412|A1293853171975018108|05|B7063916779443139495|1|0104|0|201402|3400
201412|A1293853171975018108|03|B3652152790324327074|1|0104|0|201411|2900
